"bloom_field","hhi","companies","company_share","hhi_normed"
"Social Networking",0.00135593579377922,6571,0.0854219749363008,0.122715951358223
"Cloud computing",0.0026416686140401,4397,0.0571603140762311,0.239078338836059
"Smart devices",0.00410562031660863,2639,0.0343065883209401,0.371570029628048
"Machine Learning AI",0.00391300181712453,2576,0.0334875981488222,0.354137521007929
"Solar Power",0.0156918841035874,742,0.00964588424938901,1.42015904824491
"Online streaming",0.0109399881466936,716,0.00930788830534034,0.99009928009009
"Search Engine",0.00604627667295689,673,0.00874889501325984,0.5472048141962
"Computer vision",0.0233698622904103,521,0.0067729187249753,2.11503737657456
"Wifi",0.00521016479217334,508,0.00660392075295096,0.471534369206846
"Virtual Reality",0.0372194475814555,452,0.00587592948884613,3.36846327085713
