"company_name","bloom_field","bloom_postings","rank","market_share"
"eth zurich","3d printing",64,1,0.0522022838499184
"jabil","3d printing",63,2,0.0513866231647635
"global personal partner","3d printing",39,3,0.031810766721044
"sintratec","3d printing",37,4,0.0301794453507341
"sintratec ag","3d printing",36,5,0.0293637846655791
"thyssenkrupp presta ag","Autonomous Cars",470,1,0.456310679611651
"stadler rail","Autonomous Cars",48,2,0.0466019417475728
"nvidia","Autonomous Cars",31,3,0.0300970873786408
"auterion","Autonomous Cars",29,4,0.0281553398058252
"fixposition ag","Autonomous Cars",28,5,0.0271844660194175
"ichnos sciences inc.","Bispecific monoclonal antibody",30,1,0.32258064516129
"abbvie","Bispecific monoclonal antibody",7,2,0.0752688172043011
"genedata","Bispecific monoclonal antibody",7,3,0.0752688172043011
"ichnos sciences","Bispecific monoclonal antibody",5,4,0.0537634408602151
"roche","Bispecific monoclonal antibody",5,5,0.0537634408602151
"swisscom","Cloud computing",657,1,0.0181201390038061
"atos","Cloud computing",431,2,0.0118870318274588
"sap","Cloud computing",429,3,0.0118318715869601
"mtf quadra","Cloud computing",415,4,0.0114457499034696
"salesforce","Cloud computing",357,5,0.00984610292900877
"facebook","Computer vision",346,1,0.120683641437042
"scandit","Computer vision",133,2,0.0463899546564353
"apple","Computer vision",131,3,0.045692361353331
"advertima ag","Computer vision",70,4,0.0244157656086502
"eth zurich","Computer vision",52,5,0.0181374258807115
"lonza","Drug conjugates",41,1,0.187214611872146
"blueprint medicines","Drug conjugates",20,2,0.091324200913242
"pfizer","Drug conjugates",18,3,0.0821917808219178
"seattle genetics","Drug conjugates",18,4,0.0821917808219178
"roche","Drug conjugates",10,5,0.045662100456621
"felfel","Electronic gaming",76,1,0.184019370460048
"urban games","Electronic gaming",28,2,0.0677966101694915
"logitech","Electronic gaming",25,3,0.0605326876513317
"nvidia","Electronic gaming",23,4,0.0556900726392252
"facebook","Electronic gaming",19,5,0.0460048426150121
"epfl","Fracking",1,1,0.25
"labor talentis","Fracking",1,2,0.25
"manpower 18,069 bewertungen montreux, vd","Fracking",1,3,0.25
"ok job","Fracking",1,4,0.25
"unops","GPS",15,1,0.133928571428571
"unhcr","GPS",14,2,0.125
